Year,Prime Rate
1/97,8.50
2/97,8.50
3/97,8.54
4/97,8.75
5/97,8.75
6/97,8.75
7/97,8.75
8/97,8.75
9/97,8.75
10/97,8.94
11/97,9.50
12/97,9.50
1/98,9.98
2/98,10.25
3/98,10.23
4/98,10.00
5/98,10.00
6/98,10.00
7/98,10.00
8/98,10.00
9/98,10.00
10/98,9.90
11/98,9.68
12/98,9.21
1/99,8.83
2/99,8.75
3/99,8.75
4/99,8.59
5/99,8.27
6/99,8.25
7/99,8.25
8/99,8.27
9/99,8.50
10/99,8.50
11/99,8.50
12/99,8.50
1/00,8.50
2/00,8.64
3/00,8.79
4/00,9.00
5/00,9.16
6/00,9.50
7/00,9.50
8/00,9.50
9/00,9.50
10/00,9.50
11/00,9.50
12/00,9.50
1/01,9.11
2/01,8.57
3/01,8.40
4/01,7.87
5/01,7.32
6/01,7.00
7/01,6.77
8/01,6.69
9/01,6.30
10/01,5.55
11/01,5.31
12/01,5.17
1/02,5.13
2/02,5.13
3/02,5.13
4/02,5.13
5/02,5.13
6/02,5.13
7/02,5.13
8/02,5.13
9/02,5.13
10/02,5.13
11/02,5.03
12/02,5.00
1/03,5.00
2/03,5.00
3/03,5.00
4/03,5.00
5/03,5.00
6/03,5.00
7/03,5.00
8/03,5.00
9/03,5.00
10/03,5.00
11/03,5.00
12/03,5.00
1/04,5.00
2/04,5.00
3/04,5.00
4/04,5.00
5/04,5.00
6/04,5.00
7/04,5.00
8/04,5.00
9/04,5.03
10/04,5.13
11/04,5.05
12/04,5.00
1/05,5.00
2/05,5.00
3/05,5.09
4/05,5.25
5/05,5.40
6/05,5.75
7/05,6.27
8/05,6.67
9/05,6.82
10/05,7.00
11/05,7.47
12/05,7.64
1/06,7.75
2/06,7.75
3/06,7.77
4/06,8.00
5/06,8.00
6/06,8.00
7/06,8.00
8/06,8.00
9/06,8.00
10/06,8.00
11/06,7.80
12/06,7.75
1/07,7.75
2/07,7.75
3/07,7.75
4/07,7.75
5/07,7.75
6/07,7.75
7/07,7.75
8/07,7.75
9/07,7.66
10/07,7.50
11/07,7.10
12/07,6.85
1/08,6.56
2/08,5.75
3/08,5.56
4/08,5.25
5/08,5.25
6/08,5.25
7/08,5.25
8/08,5.25
9/08,5.25
10/08,5.25
11/08,5.08
12/08,5.00
1/09,5.00
2/09,5.00
3/09,5.00
4/09,5.00
5/09,5.00
6/09,5.00
7/09,5.00
8/09,5.00
9/09,5.00
10/09,5.00
11/09,5.00
12/09,5.00
1/10,5.00
2/10,5.00
3/10,5.00
4/10,5.00
5/10,5.00
6/10,5.00
7/10,5.00
8/10,5.00
9/10,5.00
10/10,5.00
11/10,5.00
12/10,5.00
1/11,5.00
2/11,5.00
3/11,5.00
4/11,5.00
5/11,5.00
6/11,5.00
7/11,5.00
8/11,5.00
9/11,5.00
10/11,5.00
11/11,5.00
12/11,5.00
1/12,5.00
2/12,5.00
3/12,5.00
4/12,5.00
5/12,5.00
6/12,5.00
7/12,5.00
8/12,5.00
9/12,5.00
10/12,5.00
11/12,5.00
12/12,5.00
1/13,5.00
2/13,5.00
3/13,5.00
4/13,5.00
5/13,5.00
6/13,5.00
7/13,5.00
8/13,5.00
9/13,5.00
10/13,5.00
11/13,5.00
12/13,5.00
1/14,5.00
2/14,5.00
3/14,5.00
4/14,5.00
5/14,5.00
6/14,5.00
7/14,5.00
8/14,5.00
9/14,5.00
10/14,5.00
11/14,5.00
12/14,5.00
1/15,5.00
2/15,5.00
3/15,5.00
4/15,5.00
5/15,5.00
6/15,5.00
7/15,5.00
8/15,5.00
9/15,5.00
10/15,5.00
11/15,5.00
12/15,5.00
1/16,5.00
2/16,5.00
3/16,5.00
4/16,5.00
5/16,5.00
6/16,5.00
7/16,5.00
8/16,5.00
9/16,5.00
10/16,5.00
11/16,5.00
12/16,5.00
1/17,5.00
2/17,5.00
3/17,5.00
4/17,5.00
5/17,5.00
6/17,5.00
7/17,5.00
8/17,5.00
9/17,5.00
10/17,5.00
11/17,5.00
12/17,5.00
1/18,5.00
2/18,5.00
3/18,5.00
4/18,5.00
5/18,5.00
6/18,5.00
7/18,5.00
8/18,5.00
9/18,5.01
10/18,5.13
11/18,5.13
12/18,5.13
1/19,5.13
2/19,5.13
3/19,5.13
4/19,5.13
5/19,5.13
6/19,5.13
7/19,5.13
8/19,5.13
9/19,5.13
10/19,5.13
11/19,5.00
12/19,5.00
1/20,5.00
2/20,5.00
3/20,5.00
4/20,5.00
5/20,5.00
6/20,5.00
7/20,5.00
8/20,5.00
9/20,5.00
10/20,5.00
11/20,5.00
12/20,5.00
1/21,5.00
2/21,5.00
3/21,5.00
4/21,5.00
5/21,5.00
6/21,5.00
7/21,5.00
8/21,5.00
9/21,5.00
10/21,5.00
11/21,5.00
12/21,5.00
1/22,5.00
2/22,5.00
3/22,5.00
4/22,5.00
5/22,5.00
6/22,5.00
7/22,5.00
8/22,5.00
9/22,5.03
10/22,5.13
11/22,5.35
12/22,5.63