Dataset,Period,Source
Properties Transactions,1997 - 2022,The Land Registry
Hong Kong Population,1997 - 2022 ,The Census and Statistics Department
Hong Kong Median Monthly Income,1997 - 2022 ,The Census and Statistics Department
Chinaâ€™s GDP,2012 - 2022,National Bureau of Statistics
China's PPI,2010 - 2022,National Bureau of Statistics
Prime Rate,1997 - 2022,HSBC
Dow Jones,1997 - 2022,investing.com
S&P 500,1997 - 2022,investing.com
Nasdaqs,1997 - 2022,investing.com
Hang Seng Index ,1997 - 2022,investing.com